object_id,district,rc_area,timeperiod,total_tender_awarded_value,erosion_tenders_awarded_value,SOPD_tenders_awarded_value,SDRF_sanctions_awarded_value,SDRF_tenders_awarded_value,RIDF_tenders_awarded_value,LTIF_tenders_awarded_value,CIDF_tenders_awarded_value,Preparedness Measures_tenders_awarded_value,Immediate Measures_tenders_awarded_value,Others_tenders_awarded_value,Repair and Restoration_tenders_awarded_value,Total_Animal_Washed_Away,Total_Animal_Affected,Population_affected_Total,Crop_Area,Male_Camp,Female_Camp,Children_Camp,Total_House_Fully_Damaged,Human_Live_Lost,Human_Live_Lost_Children,Human_Live_Lost_Female,Human_Live_Lost_Male,Embankments affected,Roads,Bridge,Embankment breached,max_rain,mean_rain,sum_rain,mean_ndvi,mean_ndbi,count,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum,riverlevel_mean,riverlevel_min,riverlevel_max,total_expenditure_value,SDRF_expenditure_value,Immediate Measures_expenditure_value,Others_expenditure_value,Repair and Restoration_expenditure_value,Relief Camps,Relief Centers,Relief Inmates,Relief_Camp_inmates,mean_sex_ratio,sum_aged_population,sum_young_population,sum_population,water,trees,flooded_vegetation,crops,built_area,bare_ground,clouds,rangeland,schools_count,health_centres_count,rail_length,rail_count,road_length,mean_cn,elevation_mean,slope_mean,revenue_ci,dtname,dtcode11,net_sown_area_in_hac,avg_electricity,avg_tele,rc_piped_hhds_pct,rc_nosanitation_hhds_pct,total_hhd,distance_from_river,drainage_density,date,population_density,affected_population,kits_required,year,month,time_index,is_monsoon,rain_lag_1,rain_lag_2,rain_lag_3,rain_rolling_3,rain_rolling_6,affected_lag_1,affected_lag_2,affected_lag_3,affected_rolling_3,affected_rolling_6,kits_lag_1,kits_lag_2,kits_lag_3,kits_rolling_3,kits_rolling_6,latitude,longitude,forecast_scenario
18-300-00101,KOKRAJHAR,1069,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3376439683532717,2.1275875905726513,2059.5047876743265,0.649471500771404,-0.1478668865041375,0.0,1.1142566705462692e-05,1.3928208381828365e-06,0.0,4.575000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9384340966717976,20558.550000000047,34410.322,325099.1249999999,1.721362118551744,0.0,0.0035338170442133403,41.357470253107245,11.79388936593292,2.055110849449398,0.0,0.0,759,49,25231.69077098852,9.0,197887.35118101892,76.3699859162276,78.79219717147465,84.47987995648423,0.0,KOKRAJHAR,0.0,32583.05,6.103794428434198,2.0,0.9475377841818764,20.15682196605827,62460.0,1718.76663843439,0.000542,2026-06-01,304.11517773620193,0.0,0,2026,6,66,1,0.5080321109212442,0.5245639477705938,0.5031185308669596,1.0533945497548298,0.6105503633552416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00102,KOKRAJHAR,159,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179001488704681,2.0984341449431794,310.5682534515906,0.5939691866113115,-0.10326093044575298,0.0,0.0005684229952938601,7.105287441168001e-05,0.0,34.650000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.939700908916365,1252.8840000000057,2096.5399999999936,56074.61562499998,4.265867958113821,0.0,7.781283678366e-05,43.32301400022078,17.97660119577704,0.6182748634708936,0.0,0.0,328,21,21598.6323672534,7.0,42518.03388792434,78.1928471248247,45.44530531380457,83.95580758306295,0.0,KOKRAJHAR,0.0,2199.4,4.9428373291064,2.0,0.0396275014860313,14.543293045373488,5047.0,1585.67912406164,0.000641,2026-06-01,352.6705385220124,0.0,0,2026,6,66,1,0.5261272838219195,0.548880188131272,0.4224493242376559,1.0578138722987902,0.5993151568556713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00103,KOKRAJHAR,304,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011318674278257,2.090652949569132,566.5669493332348,0.5516031922654604,-0.0828078851077029,0.0,0.007016578076754541,0.0008770722595942801,0.0,818.9250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9396969699454272,8343.290000000037,14321.72199999998,195836.0249999999,2.000941209260876,0.0,0.0,67.32192574400482,24.2642154863905,1.65594231533588,0.0,0.0,475,28,27799.600032467177,8.0,155276.59511444898,77.8102055800294,52.87785719564598,83.40130599575578,0.0,KOKRAJHAR,0.0,18388.485,9.173704728370222,2.0,1.874890593561368,20.086808350100604,39760.0,853.552863641768,0.000652,2026-06-01,644.1974506578945,0.0,0,2026,6,66,1,0.4489416838836626,0.4853547039345072,0.5691098466580976,1.0083164457957674,0.5990098640075666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00104,KOKRAJHAR,990,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.334993059129715,2.1216162620877097,1896.7249383064122,0.658169115633601,-0.13419325509966684,0.0,0.0020108853846172,0.00028967841176366,0.0,728.5400000000002,41.255522222222226,40.506,42.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9388470961908348,20743.881999999983,37964.563999999984,342926.5812499998,1.045024739119832,0.0,0.014563776685858322,37.31757033054062,14.5650247497674,2.021723679080178,0.0,0.0,717,32,34408.784426737555,6.0,271904.7883239384,75.6233839235526,105.5013202436825,85.52380243132062,0.0,KOKRAJHAR,0.0,21680.643,9.37156862745098,3.0,3.410775951557093,22.59285178777393,69360.0,1570.41582129684,0.000512,2026-06-01,346.39048611111093,0.0,0,2026,6,66,1,0.4356554453074399,0.4649264629685639,0.6268756761217177,1.0073993901212377,0.6081789744142385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00105,KOKRAJHAR,281,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015659476695061,2.0007089131532148,512.181481767223,0.7545765659265351,-0.14629121225744135,0.0,0.02159721334970455,0.004607266234308145,0.0,3968.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93451806176218,3652.6820000000007,8403.532,113926.25468749995,0.778997283943601,0.0,0.0016548081559864204,16.46336653162826,5.957952797768632,0.2039505072848918,0.0,0.0,236,12,27825.755568584573,29.0,79080.40939784794,77.1437090041741,46.15189471516344,84.50348394183133,0.0,KOKRAJHAR,0.0,554.41709,8.971087633242147,2.0,0.0,27.940760305631542,10601.0,6823.79142292096,0.000538,2026-06-01,405.4315113434162,0.0,0,2026,6,66,1,0.5013839452679734,0.5488485083405629,0.4017987692149123,1.0169804555872501,0.5754566893294438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00106,KOKRAJHAR,103,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1938692505073547,2.0199288944131326,187.85338718042135,0.6630078409907922,-0.15801887429458714,0.0,0.020931140299378922,0.0031138236666148206,0.0,981.2250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9345159648662238,2960.837999999989,7043.835999999952,54171.69843749981,1.8799974276634461,0.0,0.08671079696802461,25.46930108754748,8.085181528996792,0.04157138179480628,0.0,0.0,103,5,8748.169409877293,3.0,43056.626033715445,75.6955110870741,41.02821814313982,83.68098951204824,0.0,KOKRAJHAR,0.0,2400.48,7.29100930072339,2.0,0.1446779193937306,35.76989321391664,14515.0,6931.46796608241,0.000576,2026-06-01,525.9388197815515,0.0,0,2026,6,66,1,0.5064121189842301,0.553839412160298,0.3963759431769771,1.0267268085192203,0.579426061455773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00107,KOKRAJHAR,124,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015659476695061,2.015659476695061,229.78518034323696,0.594177885667203,-0.13187925206074977,0.0,0.09052631578947368,0.019419040479760084,0.0,7382.925000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9345217480812849,1359.26400000001,3254.1539999999804,88529.8890625001,3.9406353362072197,0.0,2.388358312425272,30.1954017307047,8.618399109654396,0.0,0.0,0.0,118,9,0.0,0.0,24378.84872598321,89.550516389762,39.49644121193264,83.76536631532548,0.0,KOKRAJHAR,0.0,648.6179999999999,7.331983805668016,2.0,0.0,33.43653250773994,4199.0,10258.1380497389,0.00052,2026-06-01,713.9507182459685,0.0,0,2026,6,66,1,0.5095699945032597,0.549407201638818,0.4025671325683594,1.0248788909457127,0.5795339675675829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-300-00108,KOKRAJHAR,101,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135425190317631,1.676350752856391,152.54791850993158,0.653134474113806,-0.1331803448315947,0.0,0.03717675297773578,0.005787035569302281,0.0,1738.4150000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9349600155341288,6383.4379999999655,14676.121999999974,123742.2046874999,5.154904230668256,0.0,3.0624773111602,19.190330003772438,8.935883936735806,0.1137263794560366,0.0,0.0,52,7,0.0,0.0,44789.16067576983,81.8433205057724,92.31468886649157,86.36392422643186,0.0,KOKRAJHAR,0.0,228.37,18.543851818790447,3.0,16.362103325150635,8.705947333184557,8962.0,4631.18132307297,0.000518,2026-06-01,1225.1703434405931,0.0,0,2026,6,66,1,0.3173872662292732,0.5265894072663654,0.4074012800648972,0.8401091421173432,0.48795478440282114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,90.27,Historical P90 same-month stress scenario for June 2026
18-301-00109,DHUBRI,213,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015659476695061,1.6639118532505917,316.1432521176124,0.38181382679154713,-0.08094087970122642,0.0,0.12347099070352525,0.018797863038075662,0.0,12253.575000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9345173384983666,7278.371999999974,17263.850000000093,209645.11874999944,17.7868746938209,0.0,0.0006548312812150202,46.45451808736466,12.79799724723776,15.17362543690982,0.0,0.0,460,16,5894.409054244339,23.0,28128.047941495606,130.300657030223,29.263969812576327,74.39763158790234,0.0,DHUBRI,0.0,6212.055,5.354767053273049,3.0,0.0314527226263023,40.07863180656575,25435.0,922.651967682984,0.000645,2026-06-01,984.2493838028142,0.0,0,2026,6,66,1,0.3841708640834533,0.5314526538487956,0.345816388542307,0.8598451237276136,0.48755862662085786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,89.97,Historical P90 same-month stress scenario for June 2026
18-301-00110,DHUBRI,221,2026_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1938692505073547,2.1464846913043156,431.4434229521674,0.45681211370722274,-0.05549385970252794,0.0,0.0001266846997956,1.583558747445635e-05,0.0,10.725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9361254144998798,5105.095999999961,10381.348000000027,187768.3312499998,8.248619738722706,0.0,0.01184318541256768,56.28361383272118,19.806345286650682,8.396005384380521,0.0,0.0,430,29,51940.75532390742,13.0,66335.45781376693,96.8270106221548,32.46904442188234,81.59882385906687,0.0,DHUBRI,0.0,5347.92,6.031057454997325,3.0,0.7335047720957526,11.849985329904555,57941.0,2546.61832204961,0.000691,2026-06-01,849.6304581447955,0.0,0,2026,6,66,1,0.490534525024713,0.6137494495120067,0.3593659596169172,1.083589555280345,0.601689104242992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,89.97,Historical P90 same-month stress scenario for June 2026
